jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|traffic:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=traffic,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=traffic, 
1040,  3664,  completed,  eof,  2015-03-17 22:05:43,  2015-03-17 22:05:49,  6,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|traffic:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  656,  0.05005,  11,  14,  3,  272,  275,  0.05015,  6.17764701011,  9.68796304084, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|traffic:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=traffic,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=traffic, 
1041,  3685,  completed,  eof,  2015-03-17 22:07:26,  2015-03-17 22:07:37,  11,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  656,  None,  None,  0.05005,  11,  14,  3,  3.5,  None,  275,  0.05015,  10.4183558049,  16.338364076, 
1041,  3686,  completed,  eof,  2015-03-17 22:07:26,  2015-03-17 22:07:37,  11,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  656,  None,  6.25,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  8.51643307435,  13.3557143568, 
1041,  3697,  completed,  eof,  2015-03-17 22:07:27,  2015-03-17 22:07:37,  10,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  656,  1,  None,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  11.9684083655,  18.769200913, 
1041,  3708,  completed,  eof,  2015-03-17 22:07:27,  2015-03-17 22:07:42,  15,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|traffic:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  656,  None,  None,  0.05005,  11,  14,  3,  None,  272,  275,  0.05015,  6.17764701011,  9.68796304084, 
1041,  3709,  completed,  eof,  2015-03-17 22:07:37,  2015-03-17 22:07:49,  12,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  656,  None,  None,  0.0001,  9,  12,  1,  1.0,  None,  28,  0.1,  9.37671912803,  14.7048395948, 
1041,  3710,  completed,  eof,  2015-03-17 22:07:37,  2015-03-17 22:07:52,  15,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  656,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  8.15987379991,  12.7965478866, 
1041,  3711,  completed,  eof,  2015-03-17 22:07:37,  2015-03-17 22:07:47,  10,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  656,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  9.16309001507,  14.369820299, 
1041,  3712,  completed,  eof,  2015-03-17 22:07:42,  2015-03-17 22:07:50,  8,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|traffic:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  656,  None,  None,  0.0001,  9,  12,  1,  None,  22,  28,  0.1,  9.07245735677,  14.2276875675, 
1041,  3713,  completed,  eof,  2015-03-17 22:07:48,  2015-03-17 22:08:03,  15,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  656,  None,  None,  0.1,  12,  16,  5,  6.0,  None,  521,  0.0003,  10.181184098,  15.9664246098, 
1041,  3714,  completed,  eof,  2015-03-17 22:07:49,  2015-03-17 22:08:00,  11,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  656,  None,  12.0,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  7.89226972583,  12.3768835103, 
1041,  3715,  completed,  eof,  2015-03-17 22:07:50,  2015-03-17 22:08:00,  10,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  656,  1,  None,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  11.6461054091,  18.2637561823, 
1041,  3716,  completed,  eof,  2015-03-17 22:07:52,  2015-03-17 22:08:08,  16,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|traffic:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  656,  None,  None,  0.1,  12,  16,  5,  None,  521,  521,  0.0003,  6.70431166694,  10.5138936455, 
1041,  3717,  completed,  eof,  2015-03-17 22:08:00,  2015-03-17 22:08:13,  13,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  656,  None,  None,  0.025075,  10,  13,  2,  4.75,  None,  151,  0.075075,  11.0351886076,  17.3056989504, 
1041,  3718,  completed,  eof,  2015-03-17 22:08:00,  2015-03-17 22:08:11,  11,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  656,  None,  9.125,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  8.01522904744,  12.5697118415, 
1041,  3719,  completed,  eof,  2015-03-17 22:08:03,  2015-03-17 22:08:12,  9,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  656,  1,  None,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  11.0149031473,  17.2738867103, 
